Title,Name,Region,Address,Town,Postcode,Telephone,Email,Contact first name,Contact last name,Description,Access,Cost,Website address,Sector,Sector - other
Disability Charity,Embrace Wigan and Leigh,N.W. England,"Platt Bridge Community Zone,81 Ribble Road,Platt Bridge",Wigan,WN2 5EG,01942 513053,embrace@embracewiganandleigh.org.uk,Martin,Davies,We help local disabled people gain independence and a better future in Wigan & Leigh.,all,No Cost,www.embracewiganandleigh.org.uk,Charities,
Epilepsy services,The National Centre for Young People with Epilepsy,All of UK,St Piers Lane,Lingfield,RH7 6PW,01342 832243,info@ncype.org.uk,Michelle,Baillie,"The NCYPE is the UK’s major provider of specialist services for children and young people with complex epilepsy and other neurological conditions, striving to make a positive impact on the lives of those across the UK who are most affected by the conditions. It provides day and residential education places for students aged between 5 and 25 years through its St Piers School and St Piers Further Education College. The NCYPE also provides a fully staffed health centre and a range of epilepsy diagnostic, assessment, rehabilitation and outreach services to assist children aged 3 and upwards from across the UK.",all,Fees are paid by LEA's or LSC's,www.ncype.org.uk,Education,Charity
Rosewood School for children with Profound and Multiple Learning Difficulties,Rosewood School,S.E. England,"The Bradbury Centre,300 Aldermoor Road,Southampton,Hampshire,SO16 5NA",Southampton,SO16 5NA,023 8072 1223,jennyboyd@roseroad.org,Jenny,Boyd,Rosewood is a day school for pupils with Profound and Multiple Learning Difficulties. Pupils are aged  from 2 1/2 to 19. We offer a holistic approach to education working closely with our therapy department to maximise each child's development.,children,Non maintained special school.,http://www.roseroad.org,Education,
Caring for people with autism and their families,Norfolk Autistic Society,S.E. England,"Charing Cross Centre,17-19 St John Maddermarket",Norwich,NR2 1DN,01603 631171,info@norfolkautistic.org.uk,Office,Administrator,"We provide an information and listening service for those in Norfolk who are affected in some way by autism. We have two Family Services Workers who can visit to lend support.  In addition we run a Holiday Help Scheme, which provides relief for parents and carers during the Easter and summer school holidays.  A Holiday Grant is available to assist families with the cost of a holiday or days out, and financial assistance can sometimes be arranged to help with the cost of an essential item or repair.  Training days are organised for parents and professionals, and regular coffee mornings are held.  We also distribute bi-monthly newsletters to our members to keep them informed of events.",all,Membership costs vary between £5 (unwaged parent) and £20 (school membership),www.norfolkautistic.org.uk,Charities,
New Horizons Partnership,New Horizons Partnership,N. Ireland,"45c Derry Road, Strabane, Co.Tyrone BT82 8DY",Strabane,BT828DY,2871883114,mail@newhorizonspartnership.co.uk,Anne,Ramsey,"New Horizons Partnership is a cross-border, cross-community organisation that provides services to learning disabled and other disadvantaged clients. 

We focus on four main areas:

1.  Training learning disabled and other disadvantaged clients 
2.  Supported Employment for those clients 
3.  Social Enterprise employing this client group in real businesses, run on a not-for-profit basis by New Horizons 
4.  Development of Learning Resources for organisations that provide services and training to individuals with a learning disability",adult,contact us for details on how to access our services,http://www.newhorizonspartnership.co.uk,Training,Supported Employment and Learning Resource Development
centralised referral and allocation,Humber Mental Health Teaching NHS Trust,N.E. England,"Humber Mental Health Teaching NHS Trust, Trust Headquarters, Willerby Hill, Beverley Road, Beverley Road, Willerby, East Yorkshire, HU10 6ED",Hull,Hu10 6ED,01482 389239,allyson.kent@humber.nhs.uk,Allyson,Kent,"The Learning disability service has developed a centralised referral and allocation process for all new referrals (psychiatry, nursing, OT, Physio, SALT and psychology) to ensure we as a service are able to respond to all new referrals on an equitable basis.  The service has a clear referral pathway which clearly identifies standards at each stage of the referral process. This also sits alongside caseload managment and discharge planning for nurses.  CD rom and pathways available to share",all,,www.humber.nhs.uk,Health Care & Advice,
Swanley Day Service,Swanley Day Service,S.E. England,"c/o Youth & Community Centre,St Mary's Road",Swanley,BR8 7BU,01322 614009,,Sherida,Copley,"Swanley Day Service is based in the local Youth and Community Centre and provides support for adults with a learning disability.  We cater for 11 people per day and are open 9 - 4 Monday to Friday.  Being right in the heart of the community we are within easy reach of all the local amenities and can access train and bus routes to explore further afield.  Or aim is to increase people's self-esteem and confidence so as to enable them to make informed choices about their lives.  Such choice opportunites include work experience with local businesses, Adult Education (within walking distance), travel training, sports and leisure activities based on timetables organised by clients themselves.  We try to provide a flexible and friendly service in a relaxed atmosphere in which people, with support, can flourish at their own pace.",adult,Dependent on circumstances,www.kent.gov.uk,Day Centre,
Residential School,Alpha School,All of UK,"Alpha School,Woodhill House,Dales Road",Peterhead,AB42 3JN,01779 481537,enquiries@alphaschools.org.uk,Dr. Bruce,Lawrie,"Alpha is a non-denominational school that provides a quality residential experience 365 days a year for males and females from 5 years of age upwards, and offers an educational and therapeutic input for pupils with these additional support needs: 

Social, Emotional and Behavioural Difficulties
Attention Deficit Hyperactivity Disorder (ADHD)
Mild Learning Difficulties (MLD)
Moderate Learning Difficulties (MoLD).


Alpha offers a unique well-rounded academic and emotional growth curriculum, designed to help pupils achieve their potential through participating in an array of positive academic, therapeutic and environmental experiences. Within a highly structured, nurturing and healthy environment pupil’s learn to address issues that have prevented them from previously achieving academic and personal success. 

Our programme focuses on three strong core components: 1) academic achievement, 2) behavioural and emotional growth, and 3) individual and family counselling. 

Alpha has its own Psychology Department that provides a 24-hour, 365-day service to our pupils. Our Head of Psychology is an experienced Consultant Psychologist who is qualified in both Educational and Clinical Psychology.",children,yes,www.alphaschools.org.uk,Education,Psychology
Sex and Relationships Education,Me-and-Us,All of UK,1 Garsdale Road,Sedbergh,LA10 5JN,01539 622310,admin@me-and-us.co.uk,Hilary,Dixon,Training courses and resources for educators on Sex and Relationships Education,adult,Yes,www.me-and-us.co.uk,Education,
Resources List for Sex and Relationships Education,Me-and-Us,All of UK,1 Garsdale Road,Sedbergh,LA10 5JN,01539 622310,admin@me-and-us.co.uk,Hilary,Dixon,A list of resources for educators and others who teach sex and relationships education.  The list is a general one though can be narrowed down toresources relating to special needs.  Resources can be reviewed by anyone who logs in.  Reviews can be read by everyone.,all,No,www.sreresources.co.uk,Education,
Dyslexia Dyspraxia ADHD Treatment & Training,Dyslexia Awareness,All of England,"Cherrytree,Union Road,Nether Edge",Sheffield,S11 9EF,079449 10016,info@dyslexiaawareness.co.uk,Phil,Simpson,"DYSLEXIA  DYSPRAXIA  ADHD  Free initial consultations. Assessment, Training and Treatment Programmes also available. Sensory integration specialist previously only available to schools, now available to the public.",all,Free initial consultation & screening,www.dyslexiaawareness.co.uk,Therapy,
Free Training for SpLD,Dyslexia Awareness,All of UK,"Cherrytree,Union Road,Nether Edge",Sheffield,S11 9EF,079449 10016,info@dyslexiaawareness.co.uk,Phil,Simpson,"Free 45 minute training seminar on SpLD for all schools and colleges etc. This seminar covers aspects such as the cause, effects, symptoms and compensatory strategies associated with Dyslexia, Dyspraxia and ADHD. Contemporary theory and research will also be outlined. Half and full inset training days are also available - see website.",all,Free 45 minute training seminar,www.dyslexiaawareness.co.uk,Education,
